framework,url,status
Ollama,http://172.67.156.37:80/api/chat,403
Ollama,http://172.67.156.37:80/api/tags,403
Ollama,http://172.67.156.37:80/api/push,403
Ollama,http://172.67.156.37:80/api/copy,403
Ollama,http://172.67.156.37:80/api/create,403
Ollama,http://172.67.156.37:80/api/pull,403
Ollama,http://172.67.156.37:80/api/show,403
Ollama,http://172.67.156.37:80/api/ps,403
Ollama,http://172.67.156.37:80/api/embed,403
Ollama,http://172.67.156.37:80/api/generate,403
Ollama,http://172.67.156.37:80/api/delete,403
Ollama,http://172.67.156.37:80/api/running,403
Ollama,http://172.67.156.37:80/api/version,403
Ollama,http://39.162.11.137:11434/api/generate,404
Ollama,http://14.103.164.189:11434/api/generate,404
Ollama,http://185.175.47.20:11434/api/generate,404
Ollama,http://172.104.178.137:3016/api/ps,200
Ollama,http://172.104.178.137:3016/api/embed,401
Ollama,http://172.104.178.137:3016/api/delete,200
Ollama,http://172.104.178.137:3016/api/generate,200
Ollama,http://172.104.178.137:3016/api/running,200
Ollama,http://172.104.178.137:3016/api/version,200
Ollama,http://172.104.178.137:3016/api/tags,200
Ollama,http://172.104.178.137:3016/api/pull,200
Ollama,http://172.104.178.137:3016/api/create,200
Ollama,http://172.104.178.137:3016/api/copy,200
Ollama,http://172.104.178.137:3016/api/push,200
Ollama,http://172.104.178.137:3016/api/chat,200
Ollama,http://172.104.178.137:3016/api/show,200
Ollama,http://139.162.17.182:3016/api/generate,401
Ollama,http://47.128.145.130:10225/api/generate,200
Ollama,http://172.104.167.115:3022/api/generate,200
Ollama,http://172.234.236.109:2079/api/generate,200
Ollama,http://23.239.12.230:3054/api/generate,200
Ollama,http://139.144.212.26:1724/api/generate,200
Ollama,http://45.33.95.187:6510/api/generate,200
Ollama,http://139.144.212.26:1724/api/chat,200
Ollama,http://125.76.225.65:11434/api/generate,404
Ollama,http://172.67.72.229:80/api/generate,403
Ollama,http://39.162.11.137:11434/api/chat,404
Ollama,http://117.72.82.15:11434/api/generate,404
Ollama,http://117.53.144.221:11434/api/generate,404
Ollama,http://219.240.172.108:443/api/generate,400
Ollama,http://92.112.184.97:443/api/generate,404
Ollama,http://172.93.186.226:11434/api/generate,404
Ollama,http://18.229.196.51:80/api/generate,403
Ollama,http://139.162.112.41:7712/api/generate,200
Ollama,http://172.104.41.42:3072/api/generate,200
Ollama,http://172.104.178.85:3019/api/generate,200
Ollama,http://14.103.164.189:11434/api/chat,404
Ollama,http://172.234.236.109:2079/api/chat,200
Ollama,http://172.104.146.25:3095/api/generate,200
Ollama,http://97.107.137.87:3134/api/generate,200
Ollama,http://139.162.229.77:12362/api/generate,200
Ollama,http://172.233.233.49:3108/api/generate,200
Ollama,http://172.234.64.214:6561/api/chat,200
Ollama,http://172.234.64.214:6561/api/generate,200
Ollama,http://172.233.228.183:4443/api/generate,200
Ollama,http://15.223.207.175:3528/api/generate,200
Ollama,http://172.67.72.229:80/api/chat,403
